Fujifilm X Series X-T30 Mirrorless Camera Body Only  (Black),https://www.flipkart.com/fujifilm-x-series-x-t30-mirrorless-camera-body-only/p/itmffgbrmz3prduc?pid=DLLFFGBRS2QRNHXR&lid=LSTDLLFFGBRS2QRNHXRYYUUJJ&marketplace=FLIPKART&srno=s_3_70&otracker=search&fm=organic&iid=3af5f03c-b72c-4df4-a39b-b2325870cdd3.DLLFFGBRS2QRNHXR.SEARCH&ssid=pshgvvem680000001585306624484&qH=ac7edfe844c3c5f1,Not Available,Fujifilm,X-T30,X Series,X-T30,Body Only,Black,Mirrorless,Black,26.1 MP,Yes,Yes,CMOS,23.5 x 15.6,"Auto, 200 - 12800 (Expands to 100 - 51200)",Interchangeable Lens,Fujifilm X Mount,Yes,1/32000 sec,Yes,JPEG,3840 x 2160,4K,TFT LCD,3 inch,Yes,SDXC,512 GB,NP-W126S Li-ion Battery,118.4 mm,82.8 mm,46.8 mm,383 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Name,URL,MRP,Brand,Model Number,Model Name,SLR Variant,Brand Color,Type,Color,Effective Pixels,Shooting Modes,Tripod Socket,Wifi,Sensor Type,Image Sensor Size,ISO Rating,Focal Length,Digital Zoom,Lens Mount,Dust Reduction,Compatible Lens,View Finder,View Finder Type,Focus Mode,Focus Range,Focus Points,Exposure Mode,Shutter Speed,Self-timer,Continuous Shots,Image Format,Aspect Ratio,Video Resolution,Video Quality,Display Type,Display Size,Touch Screen,Compatible Card,Power Requirement,Batteries Included,Battery Type,Other Features,Width,Height,Depth,Weight,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Canon EOS 77D DSLR Camera (Body Only) (16 GB SD Card + Camera Bag)  (Black),https://www.flipkart.com/canon-eos-77d-dslr-camera-body-only-16-gb-sd-card-bag/p/itmes6ee8zmpzntf?pid=DLLES6E5RGRD3ZH9&lid=LSTDLLES6E5RGRD3ZH9CQBQ4N&marketplace=FLIPKART&srno=s_3_71&otracker=search&fm=organic&iid=3af5f03c-b72c-4df4-a39b-b2325870cdd3.DLLES6E5RGRD3ZH9.SEARCH&ssid=pshgvvem680000001585306624484&qH=ac7edfe844c3c5f1,Not Available,Canon,EOS 77D,EOS 77D,(Body Only) (16 GB SD Card + Camera Bag),Black,DSLR,Black,24.2,"Creative Zone Modes: Program AE, Shutter-priority AE, Aperture-priority AE, Manual Exposure, Basic Zone modes: Scene Intelligent Auto, Flash Off, Creative Auto, Portrait, Landscape, Close-up, Sports, Special Scene Modes (Group Photo, Kids, Food, Candlelight, Night Portrait, Handheld Night Scene, HDR Backlight Control), Creative filters (Grainy B/W, Soft focus, Fish-eye effect, Water Painting Effect, Toy Camera Effect, Miniature Effect, HDR Art Standard, HDR Art Vivid, HDR Art Bold, HDR Art Embossed)",Yes,Yes,CMOS,22.3 x 14.9,"100-25,600 (Max to 51,200)",1.6x,Approx. 3x - 10x,Canon EF Mount,Yes,"Canon EF lenses (including EF-S lenses), Excluding EF-M Lenses (35mm-equivalent Angle of View is that of a Lens with Approx 1.6x the Focal Length Indicated.)",Yes,Eye Level Pentamirror,"Fixed, Precision Matte","Focusing Brightness Range (EV -3 - 18 (with the Center AF Point Supporting f/2.8, One-shot AF, at Room Temperature, ISO 100))",45-Point+Dual Pixel CMOS AF,Automatic,1/4000 sec,Yes,6fps shooting,"JPEG, RAW","3:2, 1:1, 16:9, 4:3",6000 x 4000,1080p at 60p + Time-Lapse,TFT,3 inch,Yes,SD Card,"Rated Voltage: 7.2 V DC, Battery Capacity: 1040 mAh",Yes,Rechargeable Lithium-ion,Weight: 540 g (Including Battery and Card),131 mm,99.9 mm,76.2 mm,493 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Name,URL,MRP,Brand,Model Number,Model Name,SLR Variant,Brand Color,Type,Color,Effective Pixels,Tripod Socket,Wifi,Ports,Sensor Type,Image Sensor Size,ISO Rating,Optical Zoom,Lens Mount,Dust Reduction,Focus Points,Shutter Speed,Self-timer,Continuous Shots,Image Format,Video Resolution,Video Quality,Display Size,Touch Screen,Compatible Card,Battery Type,Width,Height,Depth,Weight,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Canon EOS 80D DSLR Camera (Body Only) (16 GB SD Card)  (Black),https://www.flipkart.com/canon-eos-80d-dslr-camera-body-only-16-gb-sd-card/p/itmehbazpjedmf9h?pid=CAMEHBAZUR35KKZM&lid=LSTCAMEHBAZUR35KKZMRXUAWP&marketplace=FLIPKART&srno=s_3_72&otracker=search&fm=organic&iid=3af5f03c-b72c-4df4-a39b-b2325870cdd3.CAMEHBAZUR35KKZM.SEARCH&ssid=pshgvvem680000001585306624484&qH=ac7edfe844c3c5f1,Not Available,Canon,EOS 80D,DSLR,(Body Only) (16 GB SD Card),Black,DSLR,Black,24 MP,Yes,Yes,Mini HDMI Type C,CMOS,Approx. 22.3 x 14.9mm,"100-12,800 (Max to 25,600)",Body,Canon EF/ EF-S lenses,Yes,45-Point+Dual Pixel CMOS AF,1/8000 sec,No,7fps shooting,"JPEG, RAW",1920 x 1080,1080p at 60p + Time-Lapse,3,Yes,SD Card,Lithium Battery,98,129,62,475,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Name,URL,MRP,Brand,Model Number,SLR Variant,Brand Color,Type,Color,Effective Pixels,Shooting Modes,Tripod Socket,Wifi,Face Detection,Ports,Sensor Type,Image Sensor Size,Lens Mount,Dust Reduction,Lens Color Filter,Manual Focus,View Finder,View Finder Type,Auto Focus,White Balancing,Shutter Speed,Self-timer,Continuous Shots,Built-in Flash,External Flash,Image Format,Aspect Ratio,Video Resolution,Video Format,Display Size,Compatible Card,Battery Type,Width,Height,Depth,Weight,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Canon EOS 7D DSLR Camera (Body only)  (Black),https://www.flipkart.com/canon-eos-7d-dslr-camera-body-only/p/itmduzhs62re8hfv?pid=CAMCWFPZWUZZW6YZ&lid=LSTCAMCWFPZWUZZW6YZZWOY9S&marketplace=FLIPKART&srno=s_4_73&otracker=search&fm=organic&iid=4c92a231-fe4f-4172-b655-569270d8c03b.CAMCWFPZWUZZW6YZ.SEARCH&ssid=0tlfhgkpxc0000001585306638900&qH=ac7edfe844c3c5f1,Not Available,Canon,EOS 7D,(Body only),Black,DSLR,Black,18 MP,"Live View Shooting, Remote Live View Shooting (with a Personal Computer Installed with EOS Utility)",Yes,Yes,Yes,Type C Mini HDMI,CMOS,22.3 x 14.9 mm,Canon EF/ EF-S lenses,Yes,Primary (RGB) Color Filter,Yes,Yes,Eye-level Pentamirror,Yes,"Auto, Daylight, Shade, Cloudy, Tungsten Light, White Fluorescent Light, Flash, Custom",1/8000 sec,Yes,"High-speed: 8 Shots at 1 fps, Low-speed: 3 Shots at 1 fps",Yes,Yes,"JPEG, RAW, M RAW, S RAW, RAW JPEG, EXIF 2.21, DPOF",3:02,5472 x 3648,MOV,3,SD Card,Lithium Battery,110.7,148.2,73.5,820,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Name,URL,MRP,Brand,Model Number,Model Name,SLR Variant,Brand Color,Type,Color,Effective Pixels,Shooting Modes,Tripod Socket,Wifi,Sensor Type,Image Sensor Size,Focal Length,Optical Zoom,Lens Mount,Dust Reduction,Manual Focus,Focus Range,Metering Modes,Auto Focus,White Balancing,Shutter Speed,Self-timer,Image Stablizer,Other Shutter Features,Built-in Flash,Flash Modes,Image Format,Video Resolution,Video Quality,Video Format,Display Type,Display Size,Display Resolution,Touch Screen,Compatible Card,Battery Type,Other Power Features,Other Features,Width,Height,Depth,Weight,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Canon EOS M200 Mirrorless Camera Body with Single Lens (EF-M15-45mm f/3.5-6.3 IS STM)  (Black),https://www.flipkart.com/canon-eos-m200-mirrorless-camera-body-single-lens-ef-m15-45mm-f-3-5-6-3-stm/p/itm6308625389522?pid=DLLFKMK9Z3PBNYDJ&lid=LSTDLLFKMK9Z3PBNYDJALXYY9&marketplace=FLIPKART&srno=s_4_74&otracker=search&fm=organic&iid=4c92a231-fe4f-4172-b655-569270d8c03b.DLLFKMK9Z3PBNYDJ.SEARCH&ssid=0tlfhgkpxc0000001585306638900&qH=ac7edfe844c3c5f1,43995,Canon,EOS M200,EOS M200,Body with Single Lens (EF-M15-45mm f/3.5-6.3 IS STM),Black,Mirrorless,Black,24.1 MP,"Scene Intelligent Auto, Hybrid Auto, Special Scene (Self Portrait, Portrait, Smooth Skin, Landscape, Sports, Close-up, Food, Night Portrait, Handheld Night Scene, HDR Backlight Control, Silent Mode), Creative Filters (Grainy B/W, Soft Focus, Fish-eye Effect, Water Painting Effect, Toy Camera Effect, Miniature Effect, HDR Art Standard, HDR Art Vivid, HDR Art Bold, HDR Art Embossed), Program AE, Shutter-priority AE, Aperture-priority AE, Manual Exposure, Movie (Movie Auto Exposure, Movie Manual Exposure)",Yes,Yes,CMOS,22.3 x 14.9,24 - 72,3x,Canon EF-M,No,Yes,25,"Still Photo Shooting: Evaluative Metering, Partial Metering, Spot Metering, Center-weighted Average Metering Movie Recording: Evaluative Metering (When Faces are Detected with Face+Tracking AF), Center-weighted Average Metering (When No Faces are Detected)",Yes,"Auto (Ambience Priority), Auto (White Priority), Preset (Daylight, Shade, Cloudy, Tungsten Light, White Fluorescent Light, Flash), Custom White Balance Correction, Color Temperature",1/4000 - 30 sec,Yes,Lens-shift Type and In-body 3-axis Electronic Image Stabilisation,"Silent Shutter: Available: Special Scene Mode, Silent Mode",Yes,"E-TTL II Autoflash, FE Lock, Manual Flash (On/Off)","JPEG, RAW, RAW + JPEG, C-RAW, C-RAW+JPEG",3840 x 2160,4K,MP4,LCD,3 inch,1040000 dots,Yes,SD Card,Rechargeable Lithium-ion,Optional Power: AC Power (Compact Power Adapter CA-PS700 and DC Coupler DR-E12),"Memory Card Type: SDHC, SDXC, UHS-I Cards Compatible, AF Modes: Stills: Face+Tracking AF, Zone AF, 1-point AF, Spot AF Movie: Face+Tracking AF, Zone AF, 1-point AF, Spot AF Unavailable When Recording 4K or 4K Time-lapse Movies, AF System Points: Up to 143 AF Areas (Auto Selection), Continuous Shooting Speed (Shots Per Sec) (Up to): 6.1 (One-Shot AF), 4 (Servo AF), Drive System: Stepping Motor-driven Lead Screw + Rack System, Effective ISO: 100 - 25600 (H:51200), Eye Detection AF: Available: One-Shot AF, Servo AF, Movie Servo AF, Guide Number ISO 100 Metres: 5, Image Resolution: 6000 x 4000 (L) 3984 x 2656 (M) 2976 x 1984 (S1) 2400 x 1600 (S2) 6000 x 4000 (RAW and C-RAW), Peripheral Connections: Hi-Speed USB (USB Micro-B), HDMI (Type D), Processor Type: DIGIC 8, Standard Power Supply: LP-E12, X-sync (sec): 1/200",108.2 mm,67.1 mm,35.1 mm,429 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Name,URL,MRP,Brand,Model Number,Model Name,SLR Variant,Brand Color,Type,Color,Effective Pixels,Shooting Modes,Tripod Socket,Wifi,GPS,Face Detection,Temperature,Ports,Sensor Type,Image Sensor Size,ISO Rating,Focal Length,Lens Mount,Dust Reduction,Compatible Lens,Manual Focus,Other Lens Features,View Finder,View Finder Type,Viewfinder Coverage,Viewfinder Magnification,Viewpoint Dioptric Adjustment,Viewfinder Eye Point,Other Viewfinder Features,Focus Mode,Focus Range,Metering Modes,Auto Focus,Focus Points,White Balancing,Other Focus Features,Exposure Mode,AE Lock/Exposure Lock,Exposure Compensation,Exposure Bracketing,Manual Exposure,Other Exposure Features,Shutter Speed,Self-timer,Continuous Shots,Shutter Type,Other Shutter Features,Flash Compensation,Other Flash Features,Image Format,Aspect Ratio,Live View Shooting,Picture Angle,HDR Support,Other Image Features,Video Resolution,Video Quality,Video Format,Other Video Features,Microphone,Other Audio Features,Display Type,Display Size,Touch Screen,Other Display Features,Compatible Card,Other Storage Features,Power Requirement,Batteries Included,Battery Type,Number of Batteries,Other Power Features,Other Features,Width,Height,Depth,Weight,Other Dimensions,,
Canon EOS 6D Mark II DSLR Camera (Body Only)  (Black),https://www.flipkart.com/canon-eos-6d-mark-ii-dslr-camera-body-only/p/itmewhqzygjmqwhm?pid=DLLEWHQZRVGARJBZ&lid=LSTDLLEWHQZRVGARJBZ5CXG0M&marketplace=FLIPKART&srno=s_4_75&otracker=search&fm=organic&iid=4c92a231-fe4f-4172-b655-569270d8c03b.DLLEWHQZRVGARJBZ.SEARCH&ssid=0tlfhgkpxc0000001585306638900&qH=ac7edfe844c3c5f1,Not Available,Canon,EOS 6D Mark II,EOS 6D Mark II,(Body Only),Black,DSLR,Black,26.2 MP,"Creative Zone Modes: Program AE, Shutter-priority AE, Aperture-priority AE, Manual Exposure, Bulb Exposure, Custom Shooting Modes (C1/C2), Basic Zone Modes: Scene Intelligent Auto, Creative Auto, Special Scene (Portrait, Group Photo, Landscape, Sports, Kids, Panning, Close-up, Food, Candlelight, Night Portrait, Handheld Night Scene, HDR Backlight Control)",Yes,Yes,Yes,Yes,0DegreeC - 40DegreeC,"Type C (Auto Switching of Resolution), CEC Compatible",CMOS,35.9 x 24 mm,"100-40,000 (Max to 1,02,400)",f/2.8,Canon EF Mount,Yes,Canon EF Lenses (Except EF-S and EF-M Lenses) (35 mm Equivalent Lens Focal Length Will be as Indicated on the Lens),Yes,"Lens Aberration Correction: Peripheral Illumination Correction, Chromatic Aberration Correction, Distortion Correction, Diffraction Correction",Yes,Eye-level Pentaprism,Vertical / Horizontal 98% (With Eyepoint 21 mm and Aspect Ratio Set to 3:2),0.71x (-1 m-1 with 50 mm Lens at Infinity),-3.0 to +1.0 m-1 (Dpt),21 mm,"Function Setting Display: Battery Level (Remaining Capacity), Shooting Mode, AF Operation, Image Quality (Image Type), Drive Mode, Metering Mode, Flicker Detection, Warning Display, Depth-of-field Preview, Focusing Screen: Fixed, Precision Matte, Electronic Level, Grid Display: Three Types, Mirror: Quick-return Type",One-shot AF and Servo AF,"Autofocus: EV - 3 - 18 (With the Center AF Point Supporting f/2.8, One-shot AF, Room Temperature, ISO 100) and Metering Range EV 1 - 20 (At Room Temperature, ISO 100), Live View Shooting: EV - 2.5 - 18 (At Room Temperature, ISO 100, One-shot AF), Movie Shooting: EV - 2.5 - 18 (At Room Temperature, ISO 100, One-shot AF, 29.97 fps)","Evaluative Metering (315 Zones), Partial Metering (Approx. 6.3% of Live View Screen), Spot Metering (Approx. 2.7% of Live View Screen), Center-weighted Average Metering",Yes,45-Point AF + Movie Servo,"Auto (Ambience Priority), Auto (White Priority), Preset (Daylight, Shade, Cloudy, Tungsten Light, White Fluorescent Light, Flash), Custom, Color Temperature Setting (2500 -10000 K) White Balance Correction and White Balance Bracketing Features Provided","Focus Operation: One-shot AF, AI Servo AF, AI Focus AF, Manual Focusing (MF), AF Point Automatic Selection Conditions: Automatic AF Point Selection Possible Based on Color Information Equivalent to Human Skin-tone, AF Fine Adjustment: AF Microadjustment (All Lenses by Same Amount or Adjust by Lens), AF-assist Beam: With the EOS-dedicated External Speedlite, AI Servo AF Characteristics: Characteristics can be Set with Custom Functions for Tracking Sensitivity, Acceleration / Deceleration Tracking, and AF Point Auto Switching, Autofocus Type: TTL Secondary Image-registration, Phase-difference Detection with the Dedicated AF Sensor, AF Area Selection Mode: Single-point Spot AF (Manual Selection), Single-point AF (Manual Selection), Zone AF (Manual Selection of Zone), Large Zone AF (Manual Selection of Zone), Automatic Selection AF","Manual, Automatic","Auto: AE Lock When Focus is Achieved can be Enabled or Disabled for Each Metering Mode with a Custom Function, Manual: With AE Lock Button","Manual: +/- 5 Stops in 1/3 or 1/2 Stop Increments, With Live View Shooting/Movie Shooting: +/-3 Stops in 1/3 or 1/2 Stop Increments",+/-3 Stops in 1/3 or 1/2 Stop Increments (Can be Combined With Manual Exposure Compensation),Yes,"Metering Mode: 7560-pixel RGB + IR Metering Sensor and 63-zone TTL Open-aperture Metering (Evaluative Metering (Linked to All AF points), Partial Metering (6.5% of Viewfinder at Center), Spot Metering (3.2% of Viewfinder at Center), Center-weighted Average Metering), Exposure Control: Auto Exposure Shooting (Program AE for Movie Shooting), Manual Exposure, Bulb Timer: Bulb Exposure Time Settable, Number of Multiple Exposures: 2 to 9 Exposures, Multiple-exposure Control: Additive, Average, Interval Timer: Shooting Interval and Shot Count Settable, Mirror Lockup, ISO Speed (Recommended Exposure Index) Basic Zone Modes: ISO Speed Set Automatically, P, Tv, Av, M, B: ISO Auto, ISO 100 - ISO 40000 Manual Setting (in 1/3 or Whole-stop Increments) and Expansion to L (Equivalent to ISO 50), H1 (Equivalent to ISO 51200), H2 (Equivalent to ISO 102400) Provided, Flicker Reduction, ISO Speed Settings: ISO Speed Range, Auto Range and Minimum Speed Limit for Auto Settable",1/4000 sec,Yes,6.5fps shooting,"Electronically-controlled, Focal-plane Shutter",Touch Shutter,+/- 3 Stops in 1/3 or 1/2 Stop Increments,"Flash Control: Flash Function Settings, Flash Custom Function Settings, Flash Metering: E-TTL II Autoflash, FE Lock, Compatible Speedlites: EX-series Speedlites","JPEG, RAW (14-bit Canon Original), RAW + JPEG Simultaneous Recording Enabled","3:2, 1:1, 16:9, 4:3",Yes,"Auto, Standard, Portrait, Landscape, Fine Detail, Neutral, Faithful, Monochrome, User Defined 1 - 3",Yes,"Automatic Image Brightness Correction: Auto Lighting Optimizer, Movie Playback: Possible (On LCD Monitor or with HDMI), Auto Image Align, Image Search: Search Conditions Settable (by Rating, Date, Folder, Protected, File Type), Slide Show, Highlight Tone Priority, Image Rotation Provided, Image Protection Provided, Ratings Provided, Cropping Provided, Dynamic Range Adjustment: Auto, +/- 1, +/- 2, +/- 3, Dust Deletion: Auto, Manual, Dust Delete Data Appending, In-camera RAW Image Processing: Brightness Adjustment, White Balance, Picture Style, Auto Lighting Optimizer, High ISO Speed Noise Reduction, JPEG Image-recording Quality, Color Space, Lens Aberration Correction (Peripheral Illumination Correction, Distortion Correction, Chromatic Aberration Correction, Diffraction Correction), Resize Provided, Start/End Movie Scene Editing Provided, Image Browsing Method: 1 Image, 10 Images, Specified Number, Date, Folder, Movies, Stills, Protect, Rating, Effects: Natural, Art Standard, Art Vivid, Art Bold, Art Embossed, DPOF Version 1.1 Compatible",1920 x 1080,1080p at 60p + Time-Lapse,"MOV, MPEG-4 AVC / H.264","Compression Method: Standard (IPB), Light (IPB), Recording Size: Full HD (1920 x 1080), HD (1280 x 720), Drive Mode: Single Shooting, High-speed Continuous Shooting, Low-speed Continuous Shooting, Silent single Shooting, Silent Continuous Shooting, 10 sec Self-timer / Remote Control, 2 sec Self-timer / Remote Control, Self-timer: Continuous, File Numbering: Continuous, Auto Reset, Manual Reset, Bit Rate (MP4): Full HD (59.94p / 50.00p) / Standard (IPB) - 60 Mbps, Full HD (29.97p / 25.00p / 23.98p) / Standard (IPB) - 30 Mbps, Full HD (29.97p / 25.00p) / Light (IPB) - 12 Mbps, HD (59.94p / 50.00p) / Standard (IPB) - 26 Mbps, HD (29.97p / 25.00p) / Light (IPB) - 4 Mbps, 4K Time-lapse Movies (29.97p / 25.00p) - 500 Mbps, Full HD Time-lapse Movies (29.97p / 25.00p) - 90 Mbps, Maximum Burst: JPEG Large / Fine - 110 Shots (150 Shots), RAW - 18 Shots (21 Shots), RAW + JPEG Large / Fine - 17 Shots (19 Shots), Frame Rate: 59.94p / 29.97p / 23.98p (with NTSC), 50.00p / 25.00p (with PAL)",Built-in Stereo Microphones,"Sound-recording Level Adjustable, Wind Filter Provided, Audio Format: AAC, Noise Reduction: Applicable to Long Exposures and High ISO Speed Shots, External Stereo Microphone Jack Provided, Attenuator Provided","TFT Color, Liquid-crystal Monitor",3 inch,Yes,"Image Display Formats: Single-image Display, Index Display, Brightness Adjustment: Manual (7 Levels), AF Point Display Provided, Magnified View: 1.5x - 10x, Initial Magnification and Position Settable, Custom Functions: 28 Functions, Interface Languages: 25, Feature Guide: Display On / Off Settable, My Menu: Up to 5 Screens can be Registered, Monitor Dots: 1.04 M, Custom Shooting Modes: Register Under C1 / C2 Mode, Shooting Mode Guide: Display On / Off Settable, Copyright Information: Text Entry and Appending Possible, Help Display Provided, Touch Screen: Capacitive Sensing, Highlight Alert: Overexposed Highlights Blink",SD Card,"Card Performance Requirements (Movie (Writing / Reading Speed)): Full HD (59.94p / 50.00p) / Standard (IPB) - SD Speed Class 10 or Faster, Full HD (29.97p / 25.00p / 23.98p) / Standard (IPB) - SD Speed Class 6 or Faster, Full HD (29.97p / 25.00p) / Light (IPB) - SD Speed Class 4 or Faster, HD (59.94p / 50.00p) / Standard (IPB) - SD Speed Class 6 or Faster, HD (29.97p / 25.00p) / Light (IPB) - SD Speed Class 4 or Faster, 4K Time-lapse Movie (29.97p / 25.00p) - UHS-I 90 MB/sec or Faster, Full HD Time-lapse Movie (29.97p / 25.00p) - UHS-I Speed Class 3 or Faster","Rated Voltage: 7.2 V DC, Battery Capacity: 1800 mAh",Yes,Rechargeable Lithium-ion,1,"Battery Information: Power Source, Battery Level, Shutter Count, Recharge Performance, Battery Registration Possible, Number of Possible Shots (Based on CIPA Testing Standards): With Viewfinder Shooting - 1200 Shots at Room Temperature 23DegreeC and 1100 Shots at Low Temperatures 0DegreeC, With Live View Shooting - 380 Shots at Room Temperature 23DegreeC and 340 Shots at Low Temperatures 0DegreeC, Movie Shooting Time: 2 hrs 40 min at Room Temperature 23DegreeC, 2 hrs 20 min at Low Temperatures 0DegreeC, Rated Input: AC 100 - 240 V, 50/60 Hz (Battery Charger), Battery Pack LP-E6N / LP-E6, Rated Output: 8.4 V DC / 1.2 A, Recharging Time: 2 hrs 30 min","Transfer Images Between Cameras, Connect to Connect Station, Send Images to Web Service, Remote Operation Using EOS Utility, Transmission Frequency (Central Frequency) - Frequency: 2412 to 2462 MHz, Channels: 1 to 11 ch, Encryption: WEP, TKIP, AES, Bluetooth Transmission Method: GFSK Modulation, Wi-Fi Standards Compliance: IEEE 802.11b/g/n, Bluetooth Standards Compliance: Bluetooth Specification Version 4.1 Compliant (Bluetooth Low Energy Technology), Communication with Smartphone, GPS Compatible Satellites: GPS Satellites (USA), GLONASS Satellites (Russia), Quasi-zenith Satellite System (QZSS) MICHIBIKI (Japan), GPS Signal Reception Modes: Mode 1, Mode 2, Transmission Method: DS-SS Modulation (IEEE 802.11b), OFDM Modulation (IEEE 802.11g/n), Authentication Method: Open System, Shared Key, WPA / WPA2-PSK, Connection Method: Camera Access Point Mode, Transmission Range: 15 m, NFC Standards Compliance: NFC Forum Type 3 / 4 Tag Compliant (Dynamic), Print from Wi-Fi Printers",144 mm,110.5 mm,74.8 mm,765 g,"Dimensions (W x H x D): 38.4 x 21.0 x 56.8 mm (Battery Pack), 69.0 x 33.0 x 93.0 mm (Battery Charger LC-E6), 69.0 x 33.0 x 93.0 mm (Battery Charger LC-E6E), Weight: 685 g (Body Only), 80 g (Battery Pack ), 130 g (Battery Charger LC-E6), 125 g (Battery Charger LC-E6E)",,
